#RPLIDAR SCAN DATA
#COUNT=496
#Angule	Distance	Quality
288.3417 296.0 188
288.5614 297.0 188
289.1547 298.0 188
289.7479 300.0 188
290.8411 301.0 188
291.1871 301.0 188
291.6541 304.0 188
292.8735 305.0 188
293.4668 307.0 188
293.6865 308.0 188
294.7797 310.0 188
295.4993 311.0 188
296.2134 313.0 188
296.5594 316.0 188
297.4054 317.0 188
298.1250 319.0 188
298.8391 322.0 188
299.4324 324.0 188
300.6519 325.0 188
300.7452 328.0 188
301.5912 331.0 188
302.3108 333.0 188
303.1512 335.0 188
303.6237 338.0 188
304.2169 341.0 188
305.3101 343.0 188
305.5298 346.0 188
306.1230 349.0 188
307.0898 352.0 188
308.0621 355.0 188
308.4027 358.0 188
309.3750 361.0 188
309.7156 365.0 188
310.6824 368.0 188
311.4020 371.0 188
311.7480 375.0 188
312.3413 379.0 188
313.4344 383.0 188
314.1541 387.0 188
314.3903 392.0 188
315.0934 396.0 188
316.0602 400.0 188
316.5271 406.0 188
317.1204 411.0 188
317.9663 415.0 188
318.4332 421.0 188
319.2627 426.0 188
319.8560 432.0 188
320.5756 437.0 188
321.4215 444.0 188
321.7621 450.0 188
322.8552 456.0 188
323.1848 463.0 188
323.7781 470.0 188
324.7449 478.0 188
325.4645 485.0 188
325.9369 493.0 188
326.6510 501.0 188
327.3706 510.0 188
327.8265 518.0 188
328.5461 527.0 188
329.3866 538.0 188
329.9799 547.0 188
330.5731 558.0 188
331.2927 569.0 188
331.9958 580.0 188
332.5891 590.0 188
333.3087 603.0 188
334.0283 614.0 188
334.6216 629.0 188
335.3412 642.0 188
335.9344 656.0 188
336.7639 671.0 188
337.2308 688.0 188
337.9340 706.0 188
338.6536 723.0 188
339.2468 741.0 188
339.8236 761.0 188
340.5432 781.0 188
341.2628 804.0 188
341.8396 829.0 188
342.5592 854.0 188
343.2788 883.0 188
343.9819 913.0 188
344.5752 945.0 188
345.1685 981.0 188
345.8716 1016.0 188
346.4648 1056.0 188
347.1844 1103.0 188
347.8876 1152.0 188
348.4808 1203.0 188
349.2004 1263.0 188
349.7772 1322.0 188
350.4968 1384.0 188
351.0901 1454.0 188
351.7932 1535.0 188
